perfume_name,brand,gender,accords,short_description,long_description,perfumer,top_notes,middle_notes,base_notes,rating,total_votes,img,logo
Macaque Yuzu Edition Zoologist Perfumes ,Zoologist Perfumes,for women and men,"woody,amber,fresh spicy,aromatic,citrus,warm spicy,sweet,balsamic,green","Macaque Yuzu Edition  by  Zoologist Perfumes  is a fragrance for women and men.  Macaque Yuzu Edition  was launched in 2021. The nose behind this fragrance is Mackenzie Reilly. Top notes are Yuzu, Juniper Berries and Mandarin Orange; middle notes are Hinoki Wood, Myrrh and Labdanum; base notes are Olibanum, Sandalwood and Oakmoss. ","Against the backdrop of a mountainous terrain, two communities share a peaceful coexistence. Yet despite their proximity, the societies are distinctly unique. Macaques cavort among the trees, grasping with delight at natureâ€™s bountiful pleasures. From the quiet solemnity of a nearby temple, their human neighbours regard them, coveting the monkeysâ€™ playful abandon. The macaques are all but oblivious, sparing only the briefest of curious glances at the pensive faces below before surrendering once again to their carefree revels. 
 Sweet notes of yuzu dance through a pine forest, welcoming you to Zoologist Macaque. Incense adds gravity with aromas of Hinoki woods and myrrh. The delicate balance between heavy and light results in an austere woody scent with mild hints of creamy sandalwood. Macaque is exuberance tempered by calm, sublimity buoyed by joy, a happy harmony of meditative bliss. 
",Mackenzie Reilly,"Yuzu,Juniper Berries,Mandarin Orange","Hinoki Wood,Myrrh,Labdanum","Olibanum,Sandalwood,Oakmoss",4.01,370,https://fimgs.net/mdimg/perfume/375x500.68001.jpg,https://fimgs.net/mdimg/dizajneri/m.2087.jpg
Rhinoceros Zoologist Perfumes ,Zoologist Perfumes,for women and men,"aromatic,woody,leather,herbal,oud,tobacco,sweet,rum,fresh spicy,animalic","Rhinoceros  by  Zoologist Perfumes  is a Leather fragrance for women and men.  Rhinoceros  was launched in 2014. The nose behind this fragrance is Paul Kiler. Top notes are Rum, Pine needles, elemi, Artemisia, Sage, Lavender and Bergamot; middle notes are Agarwood (Oud), Tobacco, Pine, Immortelle, Cedar and Geranium; base notes are Leather, Vetiver, Sandalwood, Amber and Musk. ","Massive and stubborn, the Rhinoceros takes stock of his territory under the unrelenting sun. His weathered hide protects him from the merciless heat and eroding drum of sand in the wind, as he protects his domain. 
 Rhinoceros Eau de Parfum establishes itself with a dry, slightly boozy rum note, like heat shimmering on the still savannah. The air crackles with lavender and sage. A warm breeze carries the scent of leather and rich tobacco. In the distance a rugged, dignified behemoth contemplates the vast expanse while amber, vetiver, smoke and sandalwood drift on the horizon. 
 This substantial and captivating scent blends the traditionally masculine and high quality notes of leather, vetiver, cedar, bergamot, and sandalwood with the more mellow rum, tobacco, lavender, and agarwood. The result is a musky, well-balanced, enigmatic, and alluring accord. 
 The nose behind this fragrance is Paul Kiler. 
 Size: 60 mL / 2 fl. oz.; Unisex 
 Top Notes: Rum, Bergamot, Lavender, Elemi, Sage, Armoise, Conifer Needles 
 Middle Notes: Pinewood, Tobacco, Immortelle, Geranium, Agarwood, Chinese Cedar Wood 
 Base Notes: Vetiver, Sandalwood, Oriental, Smoke, Leather, Musks 
",Paul Kiler,"Rum,Pine needles,elemi,Artemisia,Sage,Lavender,Bergamot","Agarwood (Oud),Tobacco,Pine,Immortelle,Cedar,Geranium","Leather,Vetiver,Sandalwood,Amber,Musk",3.85,727,https://fimgs.net/mdimg/perfume/375x500.28191.jpg,https://fimgs.net/mdimg/dizajneri/m.2087.jpg
Elephant Zoologist Perfumes ,Zoologist Perfumes,for women and men,"green,woody,coconut,warm spicy,floral,powdery,cacao,sweet,amber","Elephant  by  Zoologist Perfumes  is a Woody fragrance for women and men.  Elephant  was launched in 2017. The nose behind this fragrance is Chris Bartlett. Top notes are Green Leaves, Darjeeling Tea and Magnolia; middle notes are Coconut Milk, Cacao Pod, Woody Notes, Jasmine and Incense; base notes are Sandalwood, Musk, Patchouli and Amber. ","""Huge trees quake at their approach, vulnerable leaves shuddering as the ground rumbles under heavy footsteps. They come with appetites as massive as their lumbering bodies. Nothing is spared from their bottomless hunger â€“ trees stripped bare, roots upturned, even the tiniest blooms cannot escape their grasp. When the behemoths move on, they leave behind a path of destruction. Yet what often looks like carnage is actually a renaissance. The elephants fulfill a vital role â€“ purging the delicate ecosystem, allowing new life to flourish. 
Â 
From beneath a canopy of lush, damp foliage, the complex aromas of Zoologist Elephant emerge. Into a mixture of invigorating Darjeeling and incense, swirl hints of magnolia, coconut and cocoa. With the patience of a foraging herd stripping the bark from a thicket of trees, the fragrance dissipates gradually. What is revealed is the core of the perfume â€“ a beautiful and satisfying blend of woody notes, which dry down to an elegant, natural sandalwood scent."" - a note from the brand.",Chris Bartlett,"Green Leaves,Darjeeling Tea,Magnolia","Coconut Milk,Cacao Pod,Woody Notes,Jasmine,Incense","Sandalwood,Musk,Patchouli,Amber",3.72,"1,007",https://fimgs.net/mdimg/perfume/375x500.46803.jpg,https://fimgs.net/mdimg/dizajneri/m.2087.jpg
Musk Deer Zoologist Perfumes ,Zoologist Perfumes,for women and men,"woody,warm spicy,musky,floral,aromatic,powdery,oud,iris","Musk Deer  by  Zoologist Perfumes  is a Floral Woody Musk fragrance for women and men.  Musk Deer  was launched in 2020. The nose behind this fragrance is Pascal Gaurin. Top notes are Cardamom, Calamus and Rose; middle notes are Atlas Cedar, Labdanum, Patchouli and Jasmine Sambac; base notes are Ambrette (Musk Mallow), Sandalwood, Laotian Oud and Orris. ","Brutal winter winds buffet theÂ Siberian forest. The tall treesÂ long for summer's return, short though it may be. But at the base of several bare trunks, invisible love notesÂ call to a would-be mate. The fragrant missives are secretions left by the male musk deer. Long fangs give the buck a demonic appearance, but they too play a role in the mating ritual â€“ weapons in the tussle with rivals for a doe's love. The dream of a mate sustains the lonely musk deer as it searches out scraps of lichen and moss among cold, barren roots. 
 Â  
 For centuries musk deer have been hunted to near extinction, coveted for their fragrant musk pods. Zoologist respects this majestic creature, masterfully recreating the distinctive scent though a mixture ofÂ synthetic musks and natural oud and florals. The result evokes the animal desire of a lusty musk deer amid the alluring chill of a wintry forest, all captured without a hint of menace. 
 Â  
 Â  
 TOP NOTES 
 Cardamom, Calamus Oil, Rose 
 Â  
 HEART NOTES 
 Sambac Jasmin Absolute, Patchouli, Cedarwood Atlas, Labdanum Absolute 
 Â  
 BASE NOTES 
 Ambrette Absolute, Orris Absolute, Laos Oud, Australia Sandalwood",Pascal Gaurin,"Cardamom,Calamus,Rose","Atlas Cedar,Labdanum,Patchouli,Jasmine Sambac","Ambrette (Musk Mallow),Sandalwood,Laotian Oud,Orris",4.06,613,https://fimgs.net/mdimg/perfume/375x500.62710.jpg,https://fimgs.net/mdimg/dizajneri/m.2087.jpg
Dragonfly Zoologist Perfumes ,Zoologist Perfumes,for women and men,"floral,aquatic,powdery,ozonic,fresh,aldehydic,woody,savory,sweet,iris","Dragonfly  by  Zoologist Perfumes  is a Chypre Floral fragrance for women and men.  Dragonfly  was launched in 2017. The nose behind this fragrance is Juan Perez. Top notes are Rain Notes, Heliotrope, Aldehydes, Peony and Lemon; middle notes are Rice, Lotus, Iris, Clover and Cherry Blossom; base notes are Musk, Papyrus, Sandalwood, Oakmoss and Amber. ",,Juan Perez,"Rain Notes,Heliotrope,Aldehydes,Peony,Lemon","Rice,Lotus,Iris,Clover,Cherry Blossom","Musk,Papyrus,Sandalwood,Oakmoss,Amber",3.84,798,https://fimgs.net/mdimg/perfume/375x500.45790.jpg,https://fimgs.net/mdimg/dizajneri/m.2087.jpg
Chameleon Zoologist Perfumes ,Zoologist Perfumes,for women and men,"tropical,woody,sweet,fruity,yellow floral,floral,citrus,powdery,musky,marine","Chameleon  by  Zoologist Perfumes  is a Oriental Floral fragrance for women and men.  Chameleon  was launched in 2019. The nose behind this fragrance is Daniel Pescio. Top notes are Ylang-Ylang, Mango, Carambola (Star Fruit), Violet Leaves, Lemon, Bergamot and Pink Pepper; middle notes are Frangipani, Coconut, Sea Notes, Cashmeran, Skin, Sea Salt, Jasmine, Saffron and Clove; base notes are Vanilla, Sandalwood, Musk, Woody Notes, Amber, Opoponax, Patchouli and Vetiver. ",,Daniel Pescio,"Ylang-Ylang,Mango,Carambola (Star Fruit),Violet Leaves,Lemon,Bergamot,Pink Pepper","Frangipani,Coconut,Sea Notes,Cashmeran,Skin,Sea Salt,Jasmine,Saffron,Clove","Vanilla,Sandalwood,Musk,Woody Notes,Amber,Opoponax,Patchouli,Vetiver",3.82,"1,101",https://fimgs.net/mdimg/perfume/375x500.53015.jpg,https://fimgs.net/mdimg/dizajneri/m.2087.jpg
Purple Molecule 070 Â· 07 ZARKOPERFUME ,ZARKOPERFUME,for women and men,"floral,vanilla,powdery,sweet,musky,fresh,woody","Purple Molecule 070 Â· 07  by  ZARKOPERFUME  is a Oriental Vanilla fragrance for women and men.  Purple Molecule 070 Â· 07  was launched in 2019. The nose behind this fragrance is Zarko Ahlmann Pavlov. Top notes are Magnolia, White Orchid and Wildflowers; base notes are Madagascar Vanilla, Musk and Sandalwood. ",,Zarko Ahlmann Pavlov,"Magnolia,White Orchid,Wildflowers","Madagascar Vanilla,Musk,Sandalwood",,3.79,"1,036",https://fimgs.net/mdimg/perfume/375x500.55137.jpg,https://fimgs.net/mdimg/dizajneri/m.1939.jpg
Zlatan Pour Homme Zlatan Ibrahimovic Parfums ,Zlatan Ibrahimovic Parfums,for men,"aromatic,marine,green,woody,fresh,citrus,salty,leather,aquatic,lavender","Zlatan Pour Homme  by  Zlatan Ibrahimovic Parfums  is a Woody Aromatic fragrance for men.  Zlatan Pour Homme  was launched in 2015. The nose behind this fragrance is Olivier Pescheux. Top notes are Green Grass, Lemon and Spices; middle notes are Sea Notes and Lavender; base notes are Woody Notes, Vetiver and Leather. ","World renowned Swedish football player of Bosnian origin Zlatan IbrahimoviÄ‡ launches his first fragrance Zlatan Pour Homme in mid-August 2015. The perfume will first appear in Sweden and Paris, where Zlatan has been playing for the football club Paris Saint-Germain for several years.
 
 
The perfume is the result of two years of work. In its making, the football player was helped by famous perfumer Olivier Pescheux. The fragrance is announced as citrus cologne with woody and aromatic tones. 
 It opens with notes of lemon, spices and green grass. The heart mixes marine accord white lavender. The composition ends with vetiver, leather and woody notes.",Olivier Pescheux,"Green Grass,Lemon,Spices","Sea Notes,Lavender","Woody Notes,Vetiver,Leather",3.3,71,https://fimgs.net/mdimg/perfume/375x500.31376.jpg,https://fimgs.net/mdimg/dizajneri/m.2278.jpg
PINK MOLÃ©CULE 090.09 ZARKOPERFUME ,ZARKOPERFUME,for women and men,"sweet,Champagne,floral,fruity,aldehydic,lactonic,woody,powdery,citrus,vanilla","PINK MOLÃ©CULE 090.09  by  ZARKOPERFUME  is a Floral Fruity Gourmand fragrance for women and men.  PINK MOLÃ©CULE 090.09  was launched in 2014. Top notes are Champagne, Apricot, Black Elder and Black Orchid; base notes are Whipped Cream, Blackwood and Mahogany. ","â€œThe interpretation of the nordic elements fused with pink champagne is the foundation of this perfume. 
 The warm breeze that comes in the spring mixed with water and the dark trees in Denmark. 
 A fragrance that has a grand opening of innocence and purity, but with strong sensual undertones - like pink champagne. 
 The fragrance is almost mineralic, in that it goes from the topnotes directly to the basenotesâ€ â€” press release of the brand.",,"Champagne,Apricot,Black Elder,Black Orchid","Whipped Cream,Blackwood,Mahogany",,3.92,"3,408",https://fimgs.net/mdimg/perfume/375x500.25474.jpg,https://fimgs.net/mdimg/dizajneri/m.1939.jpg
OUDâ€™ISH ZARKOPERFUME ,ZARKOPERFUME,for women and men,"amber,musky,animalic,oud,green,powdery,balsamic,fresh",OUDâ€™ISH  by  ZARKOPERFUME  is a Woody fragrance for women and men.  OUDâ€™ISH  was launched in 2013. ,"â€œOud is one the most expensive raw materials used for perfume in the world. 
 It has a uniquely special fragrance of sweet woods and woodland soils. 
 The extraction of Oud is extremely difficult. Combined with a high demand, Oud is considered as precious as liquid gold. 
 The composition of the fragrance has been made with the finest materials available, offering you the luxuries of Oud, Indian Green Tea, Orientalgris, and White Musk. 
 The scent created allows the fragrance to be sued as a uni-sex perfumeâ€ â€” press release of the brand.",,"Ambergris,White Musk,Green Tea,Agarwood (Oud)",,,3.35,235,https://fimgs.net/mdimg/perfume/375x500.24806.jpg,https://fimgs.net/mdimg/dizajneri/m.1939.jpg
